CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
08-1-214839,57.8289,90.0986,9.94833,3.775,0.0704,3.637,3.9129
05-1-000461,-29.9317,280.2,40.1925,3.7681,0.0782,3.6148,3.9215
02-1-094577,26.5207,237.28,26.3766,3.9269,0.053,3.8231,4.0308
09-1-020933,-5.13182,100.32,8.36422,3.9469,0.0552,3.8388,4.0551
02-1-139967,43.043,214.007,12.455,3.9628,0.0531,3.8588,4.0668
04-2-010373,19.2207,273.412,12.5309,3.8591,0.0618,3.738,3.9802
06-1-000985,11.1362,51.4296,22.1577,3.9578,0.0594,3.8413,4.0742
09-1-045937,-11.6681,98.6732,10.6144,3.8814,0.0702,3.7438,4.019
06-2-000154,56.7196,47.5234,13.9415,3.9538,0.0575,3.8411,4.0665
09-1-001438,-54.631,148.881,13.91,3.5245,0.0767,3.3741,3.6748
09-1-098662,-26.2936,159.186,8.16085,3.8113,0.0725,3.6692,3.9534
02-2-001048,27.8151,190.733,9.56742,3.9535,0.0422,3.8708,4.0362
02-1-082062,22.7346,180.038,10.5136,3.8124,0.0802,3.6552,3.9696
02-1-001875,3.02353,204.876,9.6401,3.9211,0.0639,3.7957,4.0464
08-1-029735,6.86306,159.762,9.99855,3.9327,0.0494,3.8359,4.0294
08-1-002177,0.736621,100.768,33.5488,3.9243,0.069,3.7891,4.0595
08-2-001040,20.638,172.681,12.2981,3.9162,0.0532,3.8119,4.0206
08-1-000029,59.4505,127.382,11.1271,3.4711,0.0642,3.3452,3.597
07-1-118428,-32.0577,73.1833,8.32697,3.8739,0.0606,3.7551,3.9927
10-1-001096,-61.3652,238.587,46.3123,3.9225,0.0787,3.7683,4.0768
02-1-130329,38.5474,263.048,13.2642,3.9154,0.0604,3.7969,4.0338
10-1-115253,-67.4275,114.053,14.3542,3.9251,0.0458,3.8354,4.0148
03-1-050588,-17.0205,212.303,10.3281,3.8947,0.0524,3.7921,3.9974
01-1-000146,67.6883,186.046,44.9374,3.9041,0.0563,3.7937,4.0145
07-1-001290,-34.3031,43.7954,9.95995,3.7956,0.0391,3.7189,3.8722
07-1-154607,-40.5565,71.2318,8.38856,3.9488,0.0692,3.8133,4.0844
01-1-000595,82.7498,130.738,11.0299,3.8564,0.0687,3.7217,3.9911
05-1-000056,-4.8609,301.283,9.04047,3.8884,0.0578,3.7751,4.0017
03-1-058497,-19.0763,199.339,12.5433,3.9622,0.045,3.874,4.0503
07-1-108745,-29.6572,15.7464,8.11765,3.8658,0.0568,3.7544,3.9772
09-1-000441,-10.7104,99.7013,20.9766,3.9422,0.0646,3.8156,4.0689
08-1-000908,34.5248,124.719,24.2638,3.8874,0.0525,3.7846,3.9902
02-1-141312,42.0652,265.566,8.49926,3.9424,0.0538,3.837,4.0477
06-1-000689,25.1252,48.1847,12.2623,3.936,0.0535,3.8312,4.0408
02-1-154348,47.9542,219.324,8.43808,3.753,0.0556,3.6441,3.862
07-1-001229,-32.7855,30.6996,22.7794,3.9524,0.0649,3.8252,4.0796
07-1-001116,-32.4814,17.4032,13.8422,3.3382,0.0466,3.2468,3.4296
01-1-001023,82.5963,354.553,15.9321,3.9288,0.0561,3.8188,4.0387
03-1-152744,-56.74,264.426,9.58116,3.9709,0.063,3.8474,4.0944
07-1-001036,-32.4445,2.84369,9.63287,3.898,0.0793,3.7427,4.0534
03-1-000438,-19.5042,194.034,15.4145,3.9191,0.0427,3.8355,4.0027
08-1-197070,50.3296,149.611,9.59617,3.8837,0.0605,3.7651,4.0022
08-1-001359,27.527,129.621,15.489,3.9208,0.0464,3.8297,4.0118
08-1-001429,23.8612,114.222,34.8448,3.821,0.0628,3.6978,3.9442
03-1-118436,-40.7452,248.335,8.23066,3.94,0.057,3.8284,4.0517
08-1-001648,17.4968,126.261,14.1515,3.9363,0.0428,3.8525,4.0201
08-1-196965,50.7973,148.965,9.15742,3.8949,0.0533,3.7904,3.9993
07-1-001244,-33.384,35.5683,16.5293,3.9029,0.074,3.758,4.0479
02-1-005183,0.868442,246.859,15.969,3.9252,0.0624,3.8028,4.0475
08-1-002212,2.75196,113.51,59.8217,3.9159,0.0653,3.7878,4.0439
07-1-103911,-27.4121,54.9459,8.53104,3.8727,0.0612,3.7528,3.9926
07-1-000432,-14.4217,5.71718,21.7763,3.9241,0.0494,3.8272,4.0209
03-1-007272,-2.53249,187.508,9.13731,3.8091,0.0554,3.7004,3.9177
05-2-010872,-25.5308,298.709,8.4673,3.8906,0.0619,3.7693,4.012
05-1-000619,-34.0008,348.92,17.3319,3.9219,0.0745,3.7759,4.0678
