CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
02-1-151085,47.3106,209.74,10.6301,3.9307,0.0575,3.8181,4.0433
03-1-000365,-22.2368,212.666,17.7079,3.9131,0.0714,3.7733,4.053
09-1-000704,-24.8255,161.878,63.7833,3.9261,0.0599,3.8087,4.0435
09-1-000093,-0.0403627,119.424,58.1504,3.9182,0.0843,3.753,4.0833
08-1-000595,48.1166,130.75,9.94045,3.874,0.0522,3.7716,3.9764
09-1-186484,-56.7044,158.145,9.38891,3.9437,0.0637,3.8188,4.0686
08-1-000084,55.9846,138.885,12.6182,3.8299,0.0673,3.6979,3.9618
09-1-029095,-7.19375,91.464,7.38401,3.9271,0.0616,3.8063,4.0478
03-1-127172,-45.2823,238.987,10.6648,3.9362,0.0617,3.8153,4.057
09-1-169657,-47.7066,93.1932,7.00266,3.8688,0.0625,3.7463,3.9912
09-1-001743,-0.8058,92.4244,7.59509,3.8733,0.0601,3.7555,3.9911
08-1-000098,59.1332,143.753,16.5431,3.6653,0.0618,3.5442,3.7864
03-1-153518,-56.4765,232.32,11.4012,3.9506,0.0622,3.8287,4.0725
01-1-001032,80.8703,329.728,48.22,3.9728,0.0555,3.8641,4.0816
07-1-002496,-56.2568,14.6142,13.1549,3.9626,0.0634,3.8383,4.0868
05-1-000243,-19.715,299.672,19.9903,3.317,0.0641,3.1913,3.4427
02-1-179770,59.5261,217.039,6.74369,3.928,0.0499,3.8302,4.0257
02-1-148927,45.7137,207.421,7.12735,3.9198,0.0658,3.791,4.0487
07-1-149388,-39.4565,25.4764,8.10985,3.8905,0.0509,3.7908,3.9902
02-1-001359,24.8798,229.329,25.8151,3.9302,0.0439,3.8441,4.0162
09-1-095403,-25.3111,138.301,7.37678,3.879,0.0694,3.743,4.015
02-1-132544,39.1221,198.659,8.76499,3.9052,0.0622,3.7833,4.0271
08-1-157861,38.7993,133.487,6.11443,3.8516,0.0539,3.7459,3.9572
02-1-108555,30.1735,218.514,14.9864,3.9719,0.0396,3.8942,4.0495
09-1-142150,-38.6301,153.058,6.9455,3.8806,0.0732,3.7371,4.0241
10-1-001269,-61.2304,189.688,8.06726,3.6442,0.0722,3.5027,3.7857
09-1-166344,-46.8262,147.975,6.29578,3.9467,0.0625,3.8242,4.0693
02-1-157189,48.6193,220.95,9.34774,3.8804,0.0485,3.7854,3.9754
01-1-000209,69.5912,208.626,12.4033,3.5762,0.0621,3.4545,3.6979
04-1-084866,41.7368,272.37,7.23934,3.9482,0.06,3.8305,4.0659
